Country,GDP (US$)
World,"115,494,312"
United States,"30,338,000"
China,"19,535,000"
Germany,"4,922,000"
Japan,"4,390,000"
India,"4,270,000"
United Kingdom,"3,731,000"
France,"3,284,000"
Italy,"2,460,000"
Canada,"2,331,000"
Brazil,"2,308,000"
Russia,"2,197,000"
South Korea,"1,948,000"
Australia,"1,882,000"
Spain,"1,828,000"
Mexico,"1,818,000"
Indonesia,"1,493,000"
Turkey,"1,458,000"
Netherlands,"1,273,000"
Saudi Arabia,"1,138,000"
Switzerland,"1,000,000"
Poland,"915,451"
Taiwan,"814,438"
Belgium,"689,364"
Sweden,"638,780"
Argentina,"604,201"
Ireland,"587,225"
United Arab Emirates,"568,567"
Singapore,"561,730"
Austria,"559,218"
Israel,"550,905"
Thailand,"545,341"
Philippines,"507,670"
Vietnam,"506,600"
Norway,"503,470"
Malaysia,"488,700"
Iran,"478,100"
Bangladesh,"457,700"
Denmark,"432,228"
Hong Kong,"422,057"
Colombia,"419,331"
South Africa,"418,046"
Romania,"406,202"
Pakistan,"393,100"
Chile,"362,240"
Czech Republic,"360,233"
Egypt,"345,800"
Finland,"319,989"
Portugal,"319,934"
Hungary,"312,619"
Kazakhstan,"306,629"
Peru,"294,898"
Iraq,"270,874"
Greece,"265,171"
Algeria,"264,270"
New Zealand,"262,924"
Qatar,"240,217"
Ethiopia,"238,910"
Nigeria,"194,760"
Ukraine,"189,827"
Morocco,"168,597"
Kuwait,"161,950"
Slovakia,"152,480"
Cuba,—
Dominican Republic,"135,540"
Uzbekistan,"127,410"
Ecuador,"125,660"
Puerto Rico,"122,230"
Guatemala,"120,960"
Angola,"118,410"
Kenya,"116,660"
Bulgaria,"115,530"
Oman,"111,310"
Venezuela,"109,960"
Costa Rica,"100,670"
Luxembourg,"96,990"
Croatia,"96,030"
Panama,"91,739"
Ivory Coast,"86,993"
Sri Lanka,"74,846"
Turkmenistan,"83,883"
Lithuania,"82,789"
Uruguay,"82,605"
Serbia,"82,550"
Tanzania,"79,867"
Azerbaijan,"75,649"
Ghana,"75,307"
Slovenia,"73,198"
Belarus,"73,129"
DR Congo,"72,483"
Myanmar,"64,284"
Uganda,"55,587"
Macau,"55,447"
Cameroon,"53,391"
Jordan,"53,305"
Tunisia,"52,636"
Cambodia,"51,159"
Bolivia,"48,172"
Bahrain,"47,812"
Latvia,"45,521"
Paraguay,"44,937"
Libya,"44,812"
Nepal,"43,673"
Estonia,"43,044"
Honduras,"36,735"
Zimbabwe,"35,919"
El Salvador,"35,848"
Cyprus,"34,790"
Senegal,"33,685"
Georgia,"33,191"
Iceland,"32,919"
Papua New Guinea,"31,716"
Sudan,"30,873"
Zambia,"29,872"
Bosnia and Herzegovina,"29,078"
Trinidad and Tobago,"28,365"
Guinea,"25,447"
Albania,"25,431"
Armenia,"25,408"
Haiti,"24,046"
Mozambique,"22,975"
Malta,"22,737"
Mongolia,"21,943"
Burkina Faso,"21,902"
Lebanon,"21,780"
Mali,"21,662"
Botswana,"21,418"
Benin,"21,371"
Guyana,"21,178"
Gabon,"21,013"
Jamaica,"20,098"
Nicaragua,"18,829"
Niger,"18,816"
Chad,"18,697"
Palestine,"18,602"
Syria,—
Moldova,"18,356"
Yemen,"16,940"
Madagascar,"16,465"
Mauritius,"16,359"
Brunei,"15,988"
North Macedonia,"15,873"
Kyrgyzstan,"15,770"
Congo,"15,501"
Laos,"15,190"
North Korea,—
Afghanistan,"14,467"
Bahamas,"14,390"
Rwanda,"13,701"
Tajikistan,"13,000"
Somalia,"12,804"
Namibia,"12,765"
Kosovo,"11,318"
Malawi,"11,241"
Equatorial Guinea,"10,708"
Mauritania,"10,628"
Togo,"9,832"
New Caledonia,—
Monaco,—
Montenegro,"8,010"
Bermuda,—
Liechtenstein,—
Maldives,"7,199"
Barbados,"6,863"
Cayman Islands,—
South Sudan,"6,517"
French Polynesia,—
Fiji,"5,801"
Eswatini,"5,085"
Liberia,"4,754"
Sierra Leone,"4,558"
Djibouti,"4,364"
Suriname,"4,337"
Aruba,"4,069"
Andorra,"3,897"
Belize,"3,296"
Bhutan,"3,110"
Burundi,"3,075"
Curaçao,—
Greenland,—
Central African Republic,"2,810"
Cape Verde,"2,718"
Gambia,"2,694"
Saint Lucia,"2,582"
Lesotho,"2,395"
Eritrea,—
Zanzibar,—
Seychelles,"2,203"
Guinea-Bissau,"2,151"
Antigua and Barbuda,"2,127"
San Marino,"2,033"
Timor-Leste,"1,992"
Solomon Islands,"1,707"
Sint Maarten,—
Comoros,"1,422"
Grenada,"1,406"
Turks and Caicos Islands,—
Vanuatu,"1,289"
Saint Kitts and Nevis,"1,134"
Saint Vincent and the Grenadines,"1,128"
Samoa,"1,024"
São Tomé and Príncipe,751
Dominica,708
Tonga,581
Micronesia,484
Kiribati,311
Palau,308
Marshall Islands,305
Nauru,161
Tuvalu,66
